,longitude,latitude,prediction
0,153.028723,-27.482279,2
1,153.036046,-27.47059,2
2,153.042728,-27.474531,1
3,153.046986,-27.461881,1
4,153.016696,-27.469658,2
5,153.00436,-27.48172,0
6,153.001482,-27.493626,0
7,153.002459,-27.476076,0
8,153.011938,-27.493963,0
9,153.020894,-27.482197,2
10,153.050864,-27.465226,1
11,153.024662,-27.468447,2
12,153.025988,-27.473021,2
13,153.036866,-27.457825,1
14,153.02368,-27.48148,2
15,153.022094,-27.467464,2
16,153.017633,-27.499963,0
17,152.994747,-27.490776,0
18,153.041688,-27.458199,1
19,153.025477,-27.481808,2
20,153.04911,-27.452027,1
21,153.026863,-27.464628,2
22,153.03453,-27.456085,1
23,153.018506,-27.46637,2
24,153.006071,-27.492876,0
25,153.042561,-27.464681,1
26,153.037902,-27.461041,1
27,153.046802,-27.454482,1
28,153.031142,-27.463405,2
29,153.034042,-27.453717,1
30,153.03208,-27.458641,1
31,153.020323,-27.475039,2
32,153.011115,-27.468839,0
33,153.049519,-27.454394,1
34,153.007364,-27.468845,0
35,153.033841,-27.457512,1
36,153.031077,-27.46123,1
37,153.000676,-27.476003,0
38,153.027193,-27.472044,2
39,153.039196,-27.456276,1
40,153.023564,-27.480385,2
41,153.030991,-27.465043,2
42,153.02822,-27.469924,2
43,153.029828,-27.469702,2
44,153.029834,-27.468675,2
45,153.024635,-27.468422,2
46,153.048757,-27.473304,1
47,153.000599,-27.473888,0
48,152.996419,-27.483168,0
49,153.053645,-27.467802,1
50,152.99347,-27.485872,0
51,153.026946,-27.483259,2
52,153.027679,-27.464986,2
53,153.016318,-27.494561,0
54,153.004602,-27.470987,0
55,153.033445,-27.459833,1
56,153.0288,-27.475922,2
57,153.021808,-27.469075,2
58,153.040565,-27.452468,1
59,153.02257,-27.471297,2
60,153.0467,-27.467498,1
61,153.049485,-27.463678,1
62,153.025852,-27.47019,2
63,152.997215,-27.479453,0
64,153.037647,-27.474992,2
65,153.032768,-27.46048,1
66,153.036021,-27.461803,1
67,153.02802,-27.494959,2
68,153.050239,-27.459091,1
69,153.043525,-27.469931,1
70,153.02461,-27.468963,2
71,153.050013,-27.455907,1
72,153.016181,-27.480164,0
73,153.010063,-27.476724,0
74,153.027333,-27.497934,2
75,153.006181,-27.478214,0
76,153.035533,-27.469296,2
77,153.009968,-27.467971,0
78,153.018694,-27.474722,2
79,153.029597,-27.466369,2
80,153.0401,-27.453195,1
81,153.026627,-27.471315,2
82,153.011121,-27.480768,0
83,153.022603,-27.469902,2
84,153.037559,-27.453127,1
85,153.027138,-27.491284,2
86,153.022991,-27.471332,2
87,153.021076,-27.479876,2
88,153.045762,-27.448074,1
89,153.011164,-27.474227,0
90,153.0231,-27.467963,2
91,153.044925,-27.44979,1
92,153.034306,-27.471025,2
93,153.016687,-27.474755,2
94,153.04987,-27.460914,1
95,153.004129,-27.469501,0
96,153.002382,-27.485078,0
97,153.008182,-27.476474,0
98,153.031782,-27.461984,1
99,153.028383,-27.472598,2
100,152.999585,-27.48872,0
101,153.029202,-27.467556,2
102,153.034329,-27.465733,1
103,153.020012,-27.466753,2
104,153.01476,-27.466032,2
105,153.011831,-27.482562,0
106,153.048273,-27.468407,1
107,153.028296,-27.478846,2
108,153.051966,-27.471481,1
109,153.034186,-27.478032,2
110,153.012132,-27.479149,0
111,153.007281,-27.487155,0
112,153.014585,-27.480885,0
113,153.029647,-27.47148,2
114,153.019123,-27.478653,2
115,153.002405,-27.489807,0
116,153.013287,-27.47666,0
117,153.039562,-27.451793,1
118,153.032779,-27.45663,1
119,153.048107,-27.45296,1
120,152.990627,-27.485075,0
121,152.996768,-27.492489,0
122,152.993052,-27.487187,0
123,153.029361,-27.464647,2
124,153.026744,-27.468206,2
125,153.028853,-27.479004,2
126,153.030639,-27.472291,2
127,152.995804,-27.482081,0
128,153.015173,-27.478235,0
129,153.039186,-27.476792,2
130,153.014541,-27.474011,0
131,153.037775,-27.455472,1
132,153.036154,-27.454746,1
133,153.019801,-27.468678,2
134,153.04519,-27.471422,1
135,153.029125,-27.46383,2
136,153.041854,-27.471886,1
137,153.006981,-27.482082,0
138,153.018471,-27.467037,2
139,153.013188,-27.471712,0
140,153.024719,-27.469183,2
141,153.017351,-27.466307,2
142,153.001803,-27.472413,0
143,153.041031,-27.463431,1
144,153.026861,-27.46588,2
145,153.025627,-27.47011,2
146,153.029087,-27.462665,2
147,153.02682,-27.46812,2
148,153.019284,-27.481137,2
